2022-05-08 16:02:48,283 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-05-08 16:02:48,398 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-05-08 16:02:48,401 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2022-05-08 16:02:48,402 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2022-05-08 16:02:48,425 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2022-05-08 16:02:48,427 INFO  SwAddin.cs: 197 - Setting up callbacks
2022-05-08 16:02:48,428 INFO  SwAddin.cs: 201 - Setting up command manager
2022-05-08 16:02:48,429 INFO  SwAddin.cs: 204 - Adding command manager
2022-05-08 16:02:48,434 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2022-05-08 16:02:48,435 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2022-05-08 16:02:48,436 INFO  SwAddin.cs: 210 - Adding event handlers
2022-05-08 16:02:48,506 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2022-05-08 21:35:23,766 INFO  SwAddin.cs: 351 - Part export called
2022-05-08 21:35:23,907 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 零件2
2022-05-08 21:35:23,979 INFO  ExportHelperExtension.cs: 1136 - Found 27 in 零件2
2022-05-08 21:35:23,980 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 零件2
2022-05-08 21:35:23,981 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 零件2
2022-05-08 21:35:23,981 INFO  ExportHelperExtension.cs: 1136 - Found 27 in 零件2
2022-05-08 21:35:23,982 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 零件2
2022-05-08 21:35:23,983 INFO  SwAddin.cs: 367 - Showing part
2022-05-08 21:35:46,412 INFO  SwAddin.cs: 351 - Part export called
2022-05-08 21:35:46,420 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 零件2.SLDPRT
2022-05-08 21:35:46,421 INFO  ExportHelperExtension.cs: 1136 - Found 27 in 零件2.SLDPRT
2022-05-08 21:35:46,421 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 零件2.SLDPRT
2022-05-08 21:35:46,422 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 零件2.SLDPRT
2022-05-08 21:35:46,423 INFO  ExportHelperExtension.cs: 1136 - Found 27 in 零件2.SLDPRT
2022-05-08 21:35:46,424 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in 零件2.SLDPRT
